id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
NO EXTISTE,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
1911568,PK,IMPLEMENTADO,2,2,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1325329,CORPA,IMPLEMENTADO,2,4,0,CRISTALROYAL GUARD
2283121,CORPA,CCU/Cuestionados,,,,
1571252,PK,IMPLEMENTADO,0,0,1,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)QUILMES (de ABINBEV)
677297,CORPA,IMPLEMENTADO,1,3,0,
544387,CORPA,IMPLEMENTADO,1,3,0,
502272,CORPA,CCU/Cuestionados,2,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
724624,CORPA,CCU/Cuestionados,1,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1325745,CORPA,CCU/Cuestionados,1,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
690421,CORPA,CCU/Cuestionados,1,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
681482,CORPA,CCU/Cuestionados,1,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
677835,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)
131934,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)
677834,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)
794165,,,,,,
2273188,PK,CCU/Cuestionados,0,0,0,
1418027,CORPA,CCU/Cuestionados,1,3,0,CRISTALROYAL GUARD
594850,CORPA,CCU/Cuestionados,1,2,0,BUDWEISERSTELLA ARTOIS
1692847,CORPA,IMPLEMENTADO,1,4,0,
1714760,PK,IMPLEMENTADO,1,1,1,CUSQUENA (de ABINBEV)AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
573439,PK,IMPLEMENTADO,0,0,2,BUDWEISER  (de ABINBEV)STELLA ARTOIS (de ABINBEV)BUDWEISER  (de ABINBEV)STELLA ARTOIS (de ABINBEV)
776748,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
812495,PK,CCU/Cuestionados,0,0,0,
1388452,CORPA,IMPLEMENTADO,3,1,0,
754490,PK,IMPLEMENTADO,0,0,0,
776969,PK,CCU/Cuestionados,0,0,0,
2012757,PK,IMPLEMENTADO,1o2,2o5,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)
2441506,,,,,,
